iter	Logloss
0	0.6875556325
1	0.6825437236
2	0.6759859623
3	0.6707007011
4	0.6649598025
5	0.6596308707
6	0.6541387269
7	0.6485177424
8	0.6436234913
9	0.63877412
10	0.6343286039
11	0.6295035551
12	0.6256490288
13	0.6211308248
14	0.6163974343
15	0.6115523959
16	0.6072444467
17	0.6026663774
18	0.5989108034
19	0.5951061544
20	0.5910116721
21	0.5874744145
22	0.5837420333
23	0.5803174019
24	0.5762874246
25	0.5731210808
26	0.5696279776
27	0.5659766863
28	0.5619884192
29	0.5588093179
30	0.5567261521
31	0.553618429
32	0.5505606507
33	0.54740657
34	0.5445553547
35	0.5428675195
36	0.5392659483
37	0.5364537474
38	0.5336737025
39	0.5306766719
40	0.5280036163
41	0.5247981301
42	0.522418127
43	0.5202986707
44	0.5178691106
45	0.5149803352
46	0.5124042165
47	0.5100983138
48	0.5077260376
49	0.5052099692
50	0.5025662941
51	0.5004745733
52	0.4978433254
53	0.4955508388
54	0.4931698228
55	0.4911210643
56	0.4894382557
57	0.4871617916
58	0.4849155214
59	0.483208676
60	0.4813269754
61	0.4793123887
62	0.4774447816
63	0.4751339572
64	0.4735112887
65	0.4718041073
66	0.4700339165
67	0.4682507324
68	0.4670616852
69	0.4653002429
70	0.463712326
71	0.4621531383
72	0.4602276396
73	0.4586805095
74	0.4569013268
75	0.455144399
76	0.4532188882
77	0.4515131611
78	0.4503119277
79	0.4491981728
80	0.4481926021
81	0.4466366796
82	0.4456163305
83	0.4443815555
84	0.4437906432
85	0.4423655062
86	0.4407716482
87	0.439094399
88	0.4377164528
89	0.4363512537
90	0.4348855295
91	0.4337793791
92	0.4322051793
93	0.431144542
94	0.4296946217
95	0.428627495
96	0.4272368791
97	0.4262130597
98	0.4252041406
99	0.4245475277
100	0.422977118
101	0.421861799
102	0.4208364794
103	0.4196674185
104	0.4187788898
105	0.4175033077
106	0.4167244631
107	0.4157985759
108	0.4149283916
109	0.4140910692
110	0.4133585565
111	0.4123488891
112	0.4113317261
113	0.4101580984
114	0.4095025956
115	0.4086511158
116	0.4074866568
117	0.4067252487
118	0.406064864
119	0.4053622653
120	0.4045611397
121	0.4036763455
122	0.4028499103
123	0.401917969
124	0.400914993
125	0.3997258343
126	0.3994907751
127	0.3988997695
128	0.398215527
129	0.3978399689
130	0.3967657624
131	0.396137504
132	0.3957867803
133	0.395265229
134	0.3946317141
135	0.3941990078
136	0.3935632584
137	0.3929662365
138	0.3923174942
139	0.3916953982
140	0.39092344
141	0.3902269403
142	0.3894711567
