iter	Passed	Remaining
0	164	164316
1	166	82877
2	168	55929
3	170	42535
4	173	34427
5	175	28996
6	177	25130
7	179	22245
8	181	20022
9	184	18228
10	185	16712
11	188	15490
12	190	14453
13	192	13558
14	194	12785
15	196	12112
16	199	11523
17	201	11018
18	204	10542
19	206	10116
20	208	9728
21	210	9375
22	213	9051
23	214	8737
24	217	8473
25	218	8203
26	221	7975
27	223	7762
28	225	7563
29	228	7376
30	229	7175
31	231	7001
32	233	6845
33	235	6693
34	237	6549
35	238	6392
36	240	6265
37	242	6143
38	244	6027
39	246	5920
40	248	5820
41	250	5721
42	252	5625
43	253	5518
44	255	5432
45	257	5350
46	259	5270
47	261	5194
48	264	5129
49	266	5063
50	268	4995
51	270	4931
52	279	4993
53	281	4932
54	283	4871
55	285	4808
56	287	4751
57	289	4697
58	291	4644
59	293	4595
60	295	4546
61	297	4499
62	299	4448
63	301	4403
64	303	4360
65	305	4317
66	307	4279
67	309	4242
68	311	4196
69	313	4161
70	315	4128
71	317	4092
72	319	4056
73	321	4025
74	323	3993
75	325	3961
76	327	3930
77	330	3901
78	331	3870
79	334	3841
80	335	3803
81	337	3776
82	339	3749
83	341	3723
84	342	3690
85	344	3666
86	347	3643
87	349	3619
88	351	3595
89	353	3573
90	355	3552
91	357	3530
92	359	3510
93	362	3489
94	364	3468
95	366	3449
96	368	3430
97	370	3410
98	372	3391
99	374	3373
100	376	3355
101	379	3338
102	381	3323
103	383	3308
104	386	3292
105	388	3277
106	390	3259
107	392	3245
108	395	3230
109	397	3215
110	399	3198
111	401	3183
112	403	3169
113	406	3157
114	408	3146
115	411	3134
116	413	3120
117	415	3108
118	418	3096
119	420	3085
120	423	3076
121	425	3065
122	428	3055
123	431	3044
124	433	3034
125	436	3025
126	437	3010
127	440	2999
128	442	2988
129	444	2973
130	446	2961
131	448	2951
132	450	2936
133	452	2925
134	454	2914
135	457	2904
136	459	2895
137	462	2886
138	464	2875
139	466	2864
140	468	2854
141	470	2844
142	472	2834
143	475	2825
144	477	2816
145	480	2808
146	482	2797
147	484	2786
148	486	2779
149	489	2771
150	491	2764
151	494	2757
152	496	2749
153	499	2742
154	501	2733
155	504	2727
156	506	2720
157	509	2712
158	511	2704
159	513	2697
160	516	2690
161	518	2683
162	521	2677
163	523	2669
164	526	2662
165	528	2654
166	530	2646
167	532	2639
